Package_Names,City_Names,Duration,Hotel_Types,Original_Prices,Discounted_Prices,Discount_Amount,Ratings,Reviews,State
Best 4 Nights 5 Days Dwarka Tour Packages For A Memorable Trip,Ahmedabad,5,3 Star,"19,076","17,741",1335,4.2,139,Gujarat
Delhi: The Heart of India,New Delhi,6,3 Star,"14,285","12,999",1286,4.4,2357,New Delhi
Rameshwaram Tour Package For 1 Night 2 Days,Rameshwaram,2,3 Star,"12,535","11,407",1128,NaN,1435,Tamil Nadu
Alluring Gujarat family Package,Dwarka,5,3 Star,"16,593","15,100",1493,4.1,120,Gujarat
Mysore Tour Package By Volvo Bus,Mysore,2,2 Star,"7,138","6,710",428,4.1,1320,Karnataka
Tempting Tirupati Tour Package,Chennai,3,2 Star,"14,747","13,420",1327,4.1,61,Tamil Nadu
Uttarakhand: A Gem To Be Explored,Jim Corbett,4,2 Star,"16,153","14,999",1154,4.2,3333,Uttarakhand
Enchanting Meghalaya Tour Package,Shillong,3,3 Star,"13,585","12,498",1087,4.1,1319,Meghalaya
Munnar Tour Packages for 2 Nights 3 Days,Munnar,3,3 Star,"7,526","6,999",527,4.3,98,Kerala
"Wonderful Goa Family Package: Waterfalls, Monsoons & Beaches",Calangute,3,3 Star,"19,318","17,000",2318,4.3,8979,Goa
Unique Guwahati Sightseeing Tour Packages,Guwahati,3,3 Star,"13,736","12,500",1236,4.1,2491,Assam
An Exhilarating Haridwar Mussoorie Tour Package,Haridwar,3,3 Star,"10,961","9,975",986,4.2,6235,Uttarakhand
Spellbinding Meghalaya Tour Package,Shillong,6,3 Star,"35,714","32,500",3214,4.2,40,Meghalaya
Religious Jammu Kashmir Tour Package,Katra,7,2 Star,"27,493","25,500",1993,4.5,265,Jammu and Kashmir
Phenomenal Honeymoon Package To Kasol,Kasol,6,3 Star,"28,480","25,632",2848,4.5,22,Himachal Pradesh
Best Of Jammu Kashmir Family Package,Katra,10,2 Star,"34,011","30,450",3561,4.4,269,Jammu and Kashmir
Budget Friendly Jim Corbett Package,Jim Corbett,4,4 Star,"25,384","23,099",2285,4.2,5129,Uttarakhand
Best Goa 5 Days Trip For A Rememberable Trip,Goa,5,3 Star,"14,893","13,999",894,4.2,2288,Goa
Vibrant Gujarat Family Package,Jamnagar,6,3 Star,"23,406","21,299",2107,4.2,257,Gujarat
Splendid Rameshwaram Tour Package,Rameshwaram,3,4 Star,"14,076","12,809",1267,4.3,404,Tamil Nadu
Delightful Ooty Holiday Package,Coorg,5,3 Star,"18,715","16,469",2246,3.9,323,Karnataka
Cheerful Cherrapunji Tour Package,Shillong,4,3 Star,"17,032","15,499",1533,NaN,NaN,Meghalaya
Incredible Rajasthan Tour Package,Udaipur,5,2 Star,"11,413","10,500",913,4.5,156,Rajasthan
Religious Haridwar Tour Package,Rishikesh,3,3 Star,"8,653","7,874",779,4.3,2308,Uttarakhand
Choose From Our Best Selling Gorgeous Goa Tour Plan For 6 Days,Goa,6,4 Star,"33,548","31,200",2348,4.1,296,Goa
Fantastic Orissa Tour Package,Bhubaneshwar,5,2 Star,"15,909","14,000",1909,4.2,684,Gujarat
Alluring Kashmir Family Tour Package,Srinagar,9,3 Star,"43,802","39,500",4302,4.2,139,Jammu and Kashmir
Exuberant Arunachal Pradesh Tour Package,Kaziranga,8,2 Star,"42,307","38,499",3808,4.2,10229,Assam
Unique Leh-Ladakh Tour Package With Traditional Homestay @ Chuchot,Srinagar,10,4 Star,"52,746","47,999",4747,3.9,323,Jammu and Kashmir
Captivating Tawang Tour Package,Bhalukpong,7,3 Star,"39,010","35,499",3511,4.1,297,Arunachal Pradesh
Stunning Pelling Tour Package,Pelling,2,3 Star,"16,169","14,875",1294,4.3,2308,Sikkim
Best 6 Days Port Blair Tour Package For A Reviving Getaway,Port Blair,6,3 Star,"25,110","22,850",2260,NaN,372,Andaman and Nicobar Islands
Breathtaking Dwarka Sightseeing Tour Packages,Dwarka,5,3 Star,"22,925","20,862",2063,4.2,118,Gujarat
Delightful Munnar Thekkady Kerala Family Package,Munnar,6,3 Star,"20,787","18,500",2287,4.1,61,Kerala
Exciting Mussoorie Tour Package,Mussoorie,5,3 Star,"49,038","44,625",4413,4.1,129,Uttarakhand
Premium Kashmir Family Package,Pahalgam,8,2 Star,"32,218","30,500",1718,4.1,2336,Jammu and Kashmir
An Enjoyable Shillong Honeymoon Trip,Shillong,3,3 Star,"18,131","16,499",1632,4.1,1096,Meghalaya
Exciting Haridwar And Rishikesh Package,Rishikesh,3,3 Star,"11,290","10,500",790,4.2,2565,Uttarakhand
Spellbinding Guwahati Tour Package,Guwahati,3,3 Star,"13,736","12,500",1236,4.1,1320,Assam
Excellent Nagaland Honeymoon Tour Package,Dimapur,6,3 Star,"46,703","42,500",4203,NaN,462,Rajasthan
Best Golden Triangle Tour Package With Amritsar For A Reviving Getaway,Agra,6,3 Star,"50,537","46,999",3538,4.2,5129,Uttar Pradesh
Udaipur Mount Abu Tour Package For 4 Nights 5 Days,Udaipur,5,3 Star,"18,094","15,000",3094,4.2,823,Rajasthan
Explore Gangtok & North Sikkim,Gangtok,8,2 Star,"61,900","56,948",4952,4.2,435,Sikkim
Northeast Tour Package For 4 Nights 5 Days,Shillong,5,3 Star,"15,948","14,500",1448,4.3,1585,Meghalaya
Shimla Tour Package For 4 Nights 5 Days,Shimla,5,3 Star,"26,595","24,999",1596,4.1,2491,Himachal Pradesh
Ooty Tour Package By Volvo Bus,Ooty,3,2 Star,"16,418","15,433",985,4.2,482,Tamil Nadu
Ladakh Tour Package For 7 Nights 8 Days,Leh,8,3 Star,"38,709","35,999",2710,4.1,3746,Ladakh
Thrilling Nehru Trophy Boat Race Package,Alleppey,3,3 Star,"9,000","7,200",1800,4.2,910,Kerala
Karnataka: A Spellbinding Experience,Coorg,3,5 Star,"23,461","21,350",2111,4.1,3163,Karnataka
Alleppey Tour Package For 1 Night 2 Days,Alleppey,2,3 Star,"7,533","6,930",603,4.1,5493,Kerala
Stupendous Manali Independence Day Package,Manali,4,3 Star,"11,813","10,999",814,4.2,28,Himachal Pradesh
A Voyage into Serenity: Kerala Tour,Munnar,6,4 Star,"19,491","18,127",1364,4.1,9283,Kerala
Invigorating Karnataka Honeymoon Package,Ooty,6,3 Star,"22,366","20,129",2237,4.1,4687,Tamil Nadu
Joyous Kerala Tour Package For Family,Munnar,6,3 Star,"17,177","15,116",2061,4.1,2847,Kerala
Wonderful Kerala Family Package,Munnar,4,3 Star,"12,263","11,159",1104,4.2,3333,Kerala
Picture Perfect Family Trip of Kerala,Cochin,7,3 Star,"21,978","20,000",1978,4.2,28,Kerala
Kumarakom Houseboat Package,Kovalam,5,3 Star,"17,184","15,809",1375,4.2,1196,Kerala
Paradisiacal Honeymoon Escape To Kerala,Munnar,5,3 Star,"18,681","17,000",1681,4.2,714,Kerala
Lansdowne: The Perfect Retreat,Lansdowne,2,3 Star,"6,923","6,300",623,4.1,5493,Uttarakhand
Rameshwaram Sightseeing Tour Package,Rameshwaram,3,2 Star,"15,484","14,090",1394,4.2,831,Tamil Nadu
Munnar Local Tour Package,Munnar,3,3 Star,"7,446","6,999",447,4.1,642,Kerala
Spellbinding Lansdowne Tour Package,Lansdowne,2,3 Star,"9,701","8,925",776,4.1,3163,Uttarakhand
Golden Triangle Special Offer Trip Package,Agra,6,3 Star,"20,265","15,999",4266,4.1,61,Uttar Pradesh
Spellbinding Coorg Family Tour Package,Ooty,6,4 Star,"37,538","34,160",3378,4.2,823,Tamil Nadu
Golden Triangle 5 Star Tour Package,New Delhi,6,5 Star,"117,391","108,000",9391,4.2,4156,New Delhi
